Feature,Importance
Contract,0.21951623390195482
tenure,0.11034369470644416
MonthlyCharges,0.09182292991795388
PaymentMethod,0.0773245879524721
TotalCharges,0.071915197895891
InternetService,0.07017200816029473
TechSupport,0.06848817701630763
OnlineSecurity,0.06808369314578563
Dependents,0.03884136493281561
OnlineBackup,0.038206918038886775
StreamingTV,0.027940608654117727
StreamingMovies,0.027272510273710856
DeviceProtection,0.024995393332666063
Partner,0.024635220111195275
gender,0.011062852238735488
MultipleLines,0.009582548427515797
PhoneService,0.008533096936091446
PaperlessBilling,0.00572999044208511
SeniorCitizen,0.005532973915075862
